date,p_1cp_hourly_summer,p_top5_hourly_summer,sig_1cp_bin_0p5,sig_1cp_band,sig_top5_bin_0p5,sig_top5_band
2023-09-13,0.0,0.0,0,GREEN,0,GREEN
2023-09-14,0.0,0.0,0,GREEN,0,GREEN
2023-09-15,0.0,0.0,0,GREEN,0,GREEN
2023-09-16,0.0,0.0,0,GREEN,0,GREEN
2023-09-17,0.0,0.0,0,GREEN,0,GREEN
2023-09-18,0.0,0.0,0,GREEN,0,GREEN
2023-09-19,0.0,0.0,0,GREEN,0,GREEN
2023-09-20,0.0,0.0,0,GREEN,0,GREEN
2023-09-21,0.0,0.0,0,GREEN,0,GREEN
2023-09-22,0.0,0.0,0,GREEN,0,GREEN
2023-09-23,0.0,0.0,0,GREEN,0,GREEN
2023-09-24,0.0,0.0,0,GREEN,0,GREEN
2023-09-25,0.0,0.0,0,GREEN,0,GREEN
2023-09-26,0.0,0.0,0,GREEN,0,GREEN
2023-09-27,0.0,0.0,0,GREEN,0,GREEN
2023-09-28,0.0,0.0,0,GREEN,0,GREEN
2023-09-29,0.0,0.0,0,GREEN,0,GREEN
2023-09-30,0.0,0.0,0,GREEN,0,GREEN
2024-06-01,,,0,,0,
2024-06-02,0.4535,0.892,0,YELLOW,1,RED
2024-06-03,0.9485,0.981,1,RED,1,RED
2024-06-04,0.2255,0.4405,0,GREEN,0,YELLOW
2024-06-05,0.0485,0.126,0,GREEN,0,GREEN
2024-06-06,0.056,0.114,0,GREEN,0,GREEN
2024-06-07,0.012,0.0375,0,GREEN,0,GREEN
2024-06-08,0.0,0.0005,0,GREEN,0,GREEN
2024-06-09,0.001,0.0075,0,GREEN,0,GREEN
2024-06-10,0.0035,0.022,0,GREEN,0,GREEN
2024-06-11,0.0025,0.017,0,GREEN,0,GREEN
2024-06-12,0.0055,0.0285,0,GREEN,0,GREEN
2024-06-13,0.0375,0.0715,0,GREEN,0,GREEN
2024-06-14,0.062,0.0975,0,GREEN,0,GREEN
2024-06-15,0.0025,0.0075,0,GREEN,0,GREEN
2024-06-16,0.001,0.001,0,GREEN,0,GREEN
2024-06-17,0.1225,0.1765,0,GREEN,0,GREEN
2024-06-18,0.1245,0.1745,0,GREEN,0,GREEN
2024-06-19,0.044,0.1165,0,GREEN,0,GREEN
2024-06-20,0.011,0.0255,0,GREEN,0,GREEN
2024-06-21,0.0005,0.007,0,GREEN,0,GREEN
2024-06-22,0.0,0.0,0,GREEN,0,GREEN
2024-06-23,0.0,0.0,0,GREEN,0,GREEN
2024-06-24,0.0,0.001,0,GREEN,0,GREEN
2024-06-25,0.0,0.0015,0,GREEN,0,GREEN
2024-06-26,0.0005,0.003,0,GREEN,0,GREEN
2024-06-27,0.0,0.0005,0,GREEN,0,GREEN
2024-06-28,0.0,0.0,0,GREEN,0,GREEN
2024-06-29,0.0,0.0,0,GREEN,0,GREEN
2024-06-30,0.0,0.0,0,GREEN,0,GREEN
2024-07-01,0.0,0.0,0,GREEN,0,GREEN
2024-07-02,0.0,0.0,0,GREEN,0,GREEN
2024-07-03,0.0015,0.004,0,GREEN,0,GREEN
2024-07-04,0.003,0.0085,0,GREEN,0,GREEN
2024-07-05,0.001,0.007,0,GREEN,0,GREEN
2024-07-06,0.0,0.0,0,GREEN,0,GREEN
2024-07-07,0.0,0.0,0,GREEN,0,GREEN
2024-07-08,0.014,0.03,0,GREEN,0,GREEN
2024-07-09,0.0125,0.031,0,GREEN,0,GREEN
2024-07-10,0.008,0.018,0,GREEN,0,GREEN
2024-07-11,0.003,0.0095,0,GREEN,0,GREEN
2024-07-12,0.0005,0.003,0,GREEN,0,GREEN
2024-07-13,0.0,0.0005,0,GREEN,0,GREEN
2024-07-14,0.0,0.0015,0,GREEN,0,GREEN
2024-07-15,0.016,0.038,0,GREEN,0,GREEN
2024-07-16,0.019,0.042,0,GREEN,0,GREEN
2024-07-17,0.0155,0.038,0,GREEN,0,GREEN
2024-07-18,0.0055,0.015,0,GREEN,0,GREEN
2024-07-19,0.0,0.0005,0,GREEN,0,GREEN
2024-07-20,0.0,0.0,0,GREEN,0,GREEN
2024-07-21,0.0,0.0,0,GREEN,0,GREEN
2024-07-22,0.003,0.0105,0,GREEN,0,GREEN
2024-07-23,0.0095,0.0225,0,GREEN,0,GREEN
2024-07-24,0.0085,0.0175,0,GREEN,0,GREEN
2024-07-25,0.003,0.01,0,GREEN,0,GREEN
2024-07-26,0.0005,0.003,0,GREEN,0,GREEN
2024-07-27,0.0,0.0,0,GREEN,0,GREEN
2024-07-28,0.0,0.0005,0,GREEN,0,GREEN
2024-07-29,0.0155,0.034,0,GREEN,0,GREEN
2024-07-30,0.0185,0.0405,0,GREEN,0,GREEN
2024-07-31,0.03,0.053,0,GREEN,0,GREEN
2024-08-01,0.05,0.0845,0,GREEN,0,GREEN
2024-08-02,0.0375,0.069,0,GREEN,0,GREEN
2024-08-03,0.033,0.058,0,GREEN,0,GREEN
2024-08-04,0.005,0.015,0,GREEN,0,GREEN
2024-08-05,0.017,0.034,0,GREEN,0,GREEN
2024-08-06,0.0135,0.0265,0,GREEN,0,GREEN
2024-08-07,0.004,0.0105,0,GREEN,0,GREEN
2024-08-08,0.0045,0.0135,0,GREEN,0,GREEN
2024-08-09,0.01,0.0245,0,GREEN,0,GREEN
2024-08-10,0.0,0.0,0,GREEN,0,GREEN
2024-08-11,0.0,0.0,0,GREEN,0,GREEN
2024-08-12,0.001,0.003,0,GREEN,0,GREEN
2024-08-13,0.001,0.003,0,GREEN,0,GREEN
2024-08-14,0.007,0.0165,0,GREEN,0,GREEN
2024-08-15,0.0105,0.023,0,GREEN,0,GREEN
2024-08-16,0.003,0.0085,0,GREEN,0,GREEN
2024-08-17,0.0005,0.002,0,GREEN,0,GREEN
2024-08-18,0.0005,0.001,0,GREEN,0,GREEN
2024-08-19,0.0005,0.003,0,GREEN,0,GREEN
2024-08-20,0.0,0.0,0,GREEN,0,GREEN
2024-08-21,0.0,0.0,0,GREEN,0,GREEN
2024-08-22,0.0,0.0,0,GREEN,0,GREEN
2024-08-23,0.0,0.0,0,GREEN,0,GREEN
2024-08-24,0.0,0.0,0,GREEN,0,GREEN
2024-08-25,0.0,0.0,0,GREEN,0,GREEN
2024-08-26,0.0005,0.0035,0,GREEN,0,GREEN
2024-08-27,0.0005,0.0045,0,GREEN,0,GREEN
2024-08-28,0.0005,0.0055,0,GREEN,0,GREEN
2024-08-29,0.0,0.0,0,GREEN,0,GREEN
2024-08-30,0.0,0.0,0,GREEN,0,GREEN
2024-08-31,0.0,0.0,0,GREEN,0,GREEN
2024-09-01,0.0,0.0,0,GREEN,0,GREEN
2024-09-02,0.0,0.0,0,GREEN,0,GREEN
2024-09-03,0.0,0.0,0,GREEN,0,GREEN
2024-09-04,0.0,0.0,0,GREEN,0,GREEN
2024-09-05,0.0,0.0,0,GREEN,0,GREEN
2024-09-06,0.0,0.0,0,GREEN,0,GREEN
2024-09-07,0.0,0.0,0,GREEN,0,GREEN
2024-09-08,0.0,0.0,0,GREEN,0,GREEN
2024-09-09,0.0,0.0,0,GREEN,0,GREEN
2024-09-10,0.0,0.0,0,GREEN,0,GREEN
2024-09-11,0.0,0.0,0,GREEN,0,GREEN
2024-09-12,0.0,0.0,0,GREEN,0,GREEN
2024-09-13,0.0,0.0,0,GREEN,0,GREEN
2024-09-14,0.0,0.0,0,GREEN,0,GREEN
2024-09-15,0.0,0.0,0,GREEN,0,GREEN
2024-09-16,0.0,0.0,0,GREEN,0,GREEN
2024-09-17,0.0,0.0,0,GREEN,0,GREEN
2024-09-18,0.0,0.0,0,GREEN,0,GREEN
2024-09-19,0.0,0.0,0,GREEN,0,GREEN
2024-09-20,0.0,0.0,0,GREEN,0,GREEN
2024-09-21,0.0,0.0,0,GREEN,0,GREEN
2024-09-22,0.0,0.0,0,GREEN,0,GREEN
2024-09-23,0.0,0.0,0,GREEN,0,GREEN
2024-09-24,0.0,0.0,0,GREEN,0,GREEN
2024-09-25,0.0,0.0,0,GREEN,0,GREEN
2024-09-26,0.0,0.0,0,GREEN,0,GREEN
2024-09-27,0.0,0.0,0,GREEN,0,GREEN
2024-09-28,0.0,0.0,0,GREEN,0,GREEN
2024-09-29,0.0,0.0,0,GREEN,0,GREEN
2024-09-30,0.0,0.0,0,GREEN,0,GREEN
