forecast_src,1CP_hourly_brier,1CP_hourly_prec@0.5,1CP_hourly_rec@0.5,1CP_hourly_f1@0.5,1CP_hourly_auc,Top5_hourly_brier,Top5_hourly_prec@0.5,Top5_hourly_rec@0.5,Top5_hourly_f1@0.5,Top5_hourly_auc,cnt_RED_1CP,cnt_ORANGE_1CP,cnt_YELLOW_1CP,cnt_GREEN_1CP,cnt_RED_Top5,cnt_ORANGE_Top5,cnt_YELLOW_Top5,cnt_GREEN_Top5
ECA,0.027097759297520663,1.0,0.1111111111111111,0.2,0.9496900333810205,0.03012653305785124,1.0,0.16666666666666666,0.2857142857142857,0.9596014492753624,1,0,1,240,2,0,1,239
RTO,0.00978320867768595,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.9976156413924654,0.01847009814049587,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.992391304347826,8,2,3,229,13,2,0,227
TESLA,0.00978320867768595,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.9976156413924654,0.01847009814049587,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.992391304347826,8,2,3,229,13,2,0,227
