date,p_1cp_hourly_summer,p_top5_hourly_summer,ph_00,ph_01,ph_02,ph_03,ph_04,ph_05,ph_06,ph_07,ph_08,ph_09,ph_10,ph_11,ph_12,ph_13,ph_14,ph_15,ph_16,ph_17,ph_18,ph_19,ph_20,ph_21,ph_22,ph_23,peak_hour_mlh,sig_1cp_bin_0p5,sig_1cp_band,sig_top5_bin_0p5,sig_top5_band,p_4cp_hourly_monthlyTop4,p_4cp_daily_monthlyTop4,sig_4cp_hourly_bin_0p5,sig_4cp_hourly_band,sig_4cp_daily_bin_0p5,sig_4cp_daily_band
2023-06-19,0.037,0.0655,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.002,0.008,0.013,0.024,0.032,0.0815,0.4305,0.208,0.128,0.035,0.034,0.003,18,0,GREEN,0,GREEN,0.0615,0.9945,0,GREEN,1,RED
2023-06-20,0.0845,0.144,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.002,0.0085,0.0175,0.0315,0.0305,0.0975,0.4635,0.199,0.1155,0.0205,0.0115,0.0015,18,0,GREEN,0,GREEN,0.143,0.9965,0,GREEN,1,RED
2023-06-21,0.0805,0.138,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0095,0.0205,0.039,0.0335,0.1115,0.4565,0.19,0.101,0.0215,0.011,0.0025,18,0,GREEN,0,GREEN,0.1355,0.8565,0,GREEN,1,RED
2023-06-22,0.0985,0.1585,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0025,0.013,0.0235,0.0435,0.049,0.1125,0.4115,0.204,0.1055,0.0205,0.011,0.002,18,0,GREEN,0,GREEN,0.1595,0.4975,0,GREEN,0,YELLOW
2023-06-23,0.045,0.093,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0075,0.012,0.026,0.041,0.088,0.0675,0.138,0.3185,0.185,0.083,0.016,0.01,0.002,18,0,GREEN,0,GREEN,0.083,0.2725,0,GREEN,0,GREEN
2023-06-24,0.007,0.0235,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.005,0.0275,0.127,0.031,0.029,0.0265,0.0725,0.2435,0.2345,0.1545,0.026,0.0145,0.0035,18,0,GREEN,0,GREEN,0.018,0.121,0,GREEN,0,GREEN
2023-06-25,0.0065,0.026,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.001,0.003,0.0125,0.0155,0.018,0.053,0.302,0.2295,0.2355,0.0915,0.029,0.005,18,0,GREEN,0,GREEN,0.0185,0.1105,0,GREEN,0,GREEN
2023-06-26,0.1405,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0025,0.008,0.0185,0.026,0.0585,0.056,0.125,0.377,0.2175,0.0885,0.014,0.007,0.0005,18,0,GREEN,0,GREEN,0.21,0.4085,0,GREEN,0,YELLOW
2023-06-27,0.1015,0.162,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0025,0.0075,0.018,0.0245,0.048,0.042,0.1135,0.353,0.2485,0.1085,0.019,0.011,0.002,18,0,GREEN,0,GREEN,0.1645,0.3115,0,GREEN,0,GREEN
2023-06-28,0.04,0.069,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.002,0.004,0.015,0.0185,0.0305,0.0365,0.0805,0.3475,0.251,0.135,0.0365,0.0345,0.004,18,0,GREEN,0,GREEN,0.065,0.1545,0,GREEN,0,GREEN
2023-06-29,0.0285,0.055,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0105,0.015,0.03,0.0425,0.076,0.281,0.224,0.2025,0.0555,0.0525,0.004,18,0,GREEN,0,GREEN,0.0455,0.1255,0,GREEN,0,GREEN
2023-06-30,0.0625,0.1205,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.004,0.0115,0.0305,0.0575,0.089,0.0735,0.111,0.39,0.1525,0.0635,0.01,0.0045,0.0005,18,0,GREEN,0,GREEN,0.1185,0.239,0,GREEN,0,GREEN
2023-07-01,0.0025,0.0105,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.002,0.02,0.0505,0.0435,0.0755,0.0555,0.0525,0.305,0.2155,0.131,0.0305,0.009,0.003,18,0,GREEN,0,GREEN,,,0,,0,
2023-07-02,0.0345,0.0615,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0045,0.0195,0.0235,0.0235,0.0725,0.289,0.201,0.2445,0.101,0.0155,0.003,18,0,GREEN,0,GREEN,0.4805,,0,YELLOW,0,
2023-07-03,0.077,0.1305,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.009,0.0285,0.0325,0.0925,0.053,0.1655,0.295,0.2055,0.0855,0.0175,0.011,0.002,18,0,GREEN,0,GREEN,0.8065,,1,RED,0,
2023-07-04,0.2015,0.3245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.007,0.0205,0.027,0.055,0.0555,0.164,0.384,0.191,0.075,0.013,0.006,0.0005,18,0,GREEN,0,GREEN,0.921,,1,RED,0,
2023-07-05,0.2235,0.2805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.008,0.0245,0.031,0.0685,0.0675,0.1925,0.376,0.1635,0.051,0.011,0.0055,0.0005,18,0,GREEN,0,GREEN,0.2855,1.0,0,GREEN,1,RED
2023-07-06,0.1035,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0025,0.01,0.037,0.042,0.077,0.0795,0.221,0.3425,0.1335,0.0395,0.01,0.0045,0.0005,18,0,GREEN,0,GREEN,0.129,0.9965,0,GREEN,1,RED
2023-07-07,0.0405,0.0605,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0065,0.019,0.058,0.0615,0.086,0.0935,0.172,0.242,0.187,0.051,0.013,0.006,0.0005,18,0,GREEN,0,GREEN,0.0545,0.5995,0,GREEN,1,YELLOW
2023-07-08,0.001,0.0025,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0065,0.0045,0.029,0.054,0.114,0.096,0.358,0.3095,0.014,0.0055,0.0005,19,0,GREEN,0,GREEN,0.002,0.159,0,GREEN,0,GREEN
2023-07-09,0.0,0.0015,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0045,0.0125,0.032,0.0295,0.0465,0.2605,0.238,0.253,0.0995,0.0145,0.004,18,0,GREEN,0,GREEN,0.0005,0.131,0,GREEN,0,GREEN
2023-07-10,0.018,0.037,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0105,0.0185,0.035,0.05,0.1095,0.3685,0.2675,0.102,0.0235,0.0115,0.002,18,0,GREEN,0,GREEN,0.028,0.401,0,GREEN,0,YELLOW
2023-07-11,0.099,0.1315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.001,0.006,0.022,0.036,0.0375,0.072,0.2035,0.314,0.2165,0.071,0.014,0.0055,0.0005,18,0,GREEN,0,GREEN,0.123,0.459,0,GREEN,0,YELLOW
2023-07-12,0.0115,0.0225,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0025,0.0115,0.068,0.0705,0.0565,0.055,0.064,0.0545,0.0485,0.442,0.0915,0.0285,0.003,20,0,GREEN,0,GREEN,0.013,0.1425,0,GREEN,0,GREEN
