forecast_src,1CP_hourly_brier,1CP_hourly_prec@0.5,1CP_hourly_rec@0.5,1CP_hourly_f1@0.5,1CP_hourly_auc,Top5_hourly_brier,Top5_hourly_prec@0.5,Top5_hourly_rec@0.5,Top5_hourly_f1@0.5,Top5_hourly_auc,4CP_hourly_brier,4CP_hourly_prec@0.5,4CP_hourly_rec@0.5,4CP_hourly_f1@0.5,4CP_hourly_auc,4CP_daily_brier,4CP_daily_prec@0.5,4CP_daily_rec@0.5,4CP_daily_f1@0.5,4CP_daily_auc,cnt_RED_4CP_hourly,cnt_ORANGE_4CP_hourly,cnt_YELLOW_4CP_hourly,cnt_GREEN_4CP_hourly,cnt_RED_4CP_daily,cnt_ORANGE_4CP_daily,cnt_YELLOW_4CP_daily,cnt_GREEN_4CP_daily
ECA,0.0456359917355372,0.0,0.0,0.0,0.8931034482758621,0.05077384090909091,0.5,0.25,0.3333333333333333,0.9446902654867256,0.16193532415254236,0.5833333333333334,0.25,0.35,0.8101190476190476,0.18259012971698113,0.7083333333333334,0.425,0.53125,0.790530303030303,8,2,3,105,15,5,7,79
RTO,0.03349872314049587,0.5,1.0,0.6666666666666666,0.9844827586206897,0.03564120041322315,0.6363636363636364,0.875,0.7368421052631579,0.9800884955752213,0.0719988601694915,0.84,0.75,0.7924528301886793,0.955952380952381,0.11805541981132076,0.7857142857142857,0.825,0.8048780487804879,0.9132575757575757,24,0,5,89,36,3,6,61
TESLA,0.03349872314049587,0.5,1.0,0.6666666666666666,0.9844827586206897,0.03564120041322315,0.6363636363636364,0.875,0.7368421052631579,0.9800884955752213,0.0719988601694915,0.84,0.75,0.7924528301886793,0.955952380952381,0.11805541981132076,0.7857142857142857,0.825,0.8048780487804879,0.9132575757575757,24,0,5,89,36,3,6,61
