"20250201,22100,15,2025020115",,
20251901,18208.0,10.0
20251901,18637.0,11.0
20251901,18871.0,12.0
20251901,18866.0,13.0
20251901,18616.0,14.0
20251901,18743.0,15.0
20251901,19059.0,16.0
20251901,19786.0,17.0
20251901,20828.0,18.0
20251901,20746.0,19.0
20251901,20266.0,20.0
20251901,19469.0,21.0
20251901,18720.0,22.0
20251901,17922.0,23.0
20251901,17221.0,24.0
20252001,16883.0,1.0
20252001,16590.0,2.0
20252001,16892.0,3.0
20252001,16966.0,4.0
20252001,17050.0,5.0
20252001,17715.0,6.0
20252001,19001.0,7.0
20252001,20305.0,8.0
20252001,20459.0,9.0
20252001,20257.0,10.0
20252001,20080.0,11.0
20252001,19547.0,12.0
20252001,19350.0,13.0
20252001,19557.0,14.0
20252001,19650.0,15.0
20252001,19977.0,16.0
20252001,20707.0,17.0
20252001,21579.0,18.0
20252001,21701.0,19.0
20252001,21422.0,20.0
20252001,21164.0,21.0
20252001,20321.0,22.0
20252001,19287.0,23.0
20252001,18398.0,24.0
20252101,17643.0,1.0
20252101,17399.0,2.0
20252101,17408.0,3.0
20252101,17484.0,4.0
20252101,17795.0,5.0
20252101,18174.0,6.0
20252101,19142.0,7.0
20252101,20579.0,8.0
20252101,20822.0,9.0
20252101,20301.0,10.0
20252101,19958.0,11.0
20252101,19711.0,12.0
20252101,19547.0,13.0
20252101,19452.0,14.0
20252101,19736.0,15.0
20252101,20202.0,16.0
20252101,20785.0,17.0
20252101,21602.0,18.0
20252101,21575.0,19.0
20252101,21407.0,20.0
20252101,20997.0,21.0
20252101,20486.0,22.0
20252101,19470.0,23.0
20252101,18611.0,24.0
20252201,18111.0,1.0
20252201,17909.0,2.0
20252201,17706.0,3.0
20252201,17709.0,4.0
20252201,17832.0,5.0
20252201,18287.0,6.0
20252201,19511.0,7.0
20252201,20965.0,8.0
20252201,20944.0,9.0
20252201,20305.0,10.0
20252201,20263.0,11.0
20252201,20425.0,12.0
20252201,20242.0,13.0
20252201,20394.0,14.0
20252201,20532.0,15.0
20252201,21125.0,16.0
20252201,21183.0,17.0
20252201,21940.0,18.0
20252201,21656.0,19.0
20252201,21407.0,20.0
20252201,21199.0,21.0
20252201,20469.0,22.0
20252201,19457.0,23.0
20252201,18388.0,24.0
20252301,17789.0,1.0
20252301,17393.0,2.0
20252301,17191.0,3.0
20252301,17206.0,4.0
20252301,17423.0,5.0
20252301,17928.0,6.0
20252301,18882.0,7.0
20252301,20156.0,8.0
20252301,20538.0,9.0
20252301,20558.0,10.0
20252301,20403.0,11.0
20252301,20268.0,12.0
20252301,20137.0,13.0
20252301,20080.0,14.0
20252301,20078.0,15.0
20252301,20192.0,16.0
20252301,20548.0,17.0
20252301,21048.0,18.0
20252301,21064.0,19.0
20252301,20650.0,20.0
20252301,20271.0,21.0
20252301,19651.0,22.0
20252301,18807.0,23.0
20252301,17814.0,24.0
20252401,17223.0,1.0
20252401,16798.0,2.0
20252401,16782.0,3.0
20252401,16892.0,4.0
20252401,17140.0,5.0
20252401,17820.0,6.0
20252401,18708.0,7.0
20252401,20280.0,8.0
20252401,20608.0,9.0
20252401,20595.0,10.0
20252401,20346.0,11.0
20252401,19584.0,12.0
20252401,19348.0,13.0
20252401,19416.0,14.0
20252401,19502.0,15.0
20252401,19820.0,16.0
20252401,20439.0,17.0
20252401,21117.0,18.0
20252401,21019.0,19.0
20252401,20566.0,20.0
20252401,20248.0,21.0
20252401,19663.0,22.0
20252401,18756.0,23.0
20252401,17851.0,24.0
20252501,17018.0,1.0
20252501,16617.0,2.0
20252501,16439.0,3.0
20252501,16330.0,4.0
20252501,16251.0,5.0
20252501,16398.0,6.0
20252501,16873.0,7.0
20252501,17625.0,8.0
20252501,18292.0,9.0
20252501,18693.0,10.0
20252501,18948.0,11.0
20252501,19008.0,12.0
20252501,18695.0,13.0
20252501,18334.0,14.0
20252501,18347.0,15.0
20252501,18542.0,16.0
20252501,19113.0,17.0
20252501,19600.0,18.0
20252501,19453.0,19.0
20252501,18943.0,20.0
20252501,18395.0,21.0
20252501,17874.0,22.0
20252501,17102.0,23.0
20252501,16478.0,24.0
20252601,15730.0,1.0
20252601,15347.0,2.0
20252601,15109.0,3.0
20252601,15063.0,4.0
20252601,15141.0,5.0
20252601,15311.0,6.0
20252601,15798.0,7.0
20252601,16155.0,8.0
20252601,16921.0,9.0
20252601,17169.0,10.0
20252601,16859.0,11.0
20252601,17007.0,12.0
20252601,17019.0,13.0
20252601,17038.0,14.0
20252601,17150.0,15.0
20252601,17306.0,16.0
20252601,18273.0,17.0
20252601,19566.0,18.0
20252601,19837.0,19.0
20252601,19303.0,20.0
20252601,18689.0,21.0
20252601,18124.0,22.0
20252601,17177.0,23.0
20252601,16341.0,24.0
20252701,15713.0,1.0
20252701,15375.0,2.0
20252701,15259.0,3.0
20252701,15362.0,4.0
20252701,15512.0,5.0
20252701,16208.0,6.0
20252701,17365.0,7.0
20252701,18667.0,8.0
20252701,18936.0,9.0
20252701,18531.0,10.0
20252701,18077.0,11.0
20252701,17640.0,12.0
20252701,17724.0,13.0
20252701,17786.0,14.0
20252701,17826.0,15.0
20252701,18371.0,16.0
20252701,19337.0,17.0
20252701,20314.0,18.0
20252701,20384.0,19.0
20252701,20070.0,20.0
20252701,19608.0,21.0
20252701,18710.0,22.0
20252701,17690.0,23.0
20252701,16898.0,24.0
20252801,16187.0,1.0
20252801,15899.0,2.0
20252801,15831.0,3.0
20252801,15986.0,4.0
20252801,16096.0,5.0
20252801,16792.0,6.0
20252801,18045.0,7.0
20252801,19500.0,8.0
20252801,20061.0,9.0
20252801,19726.0,10.0
20252801,19299.0,11.0
20252801,18987.0,12.0
20252801,18762.0,13.0
20252801,18703.0,14.0
20252801,19189.0,15.0
20252801,19657.0,16.0
20252801,20321.0,17.0
20252801,20957.0,18.0
20252801,20949.0,19.0
20252801,20404.0,20.0
20252801,19763.0,21.0
20252801,19038.0,22.0
20252801,17957.0,23.0
20252801,17073.0,24.0
20252901,16464.0,1.0
20252901,16012.0,2.0
20252901,15775.0,3.0
20252901,15577.0,4.0
20252901,15584.0,5.0
20252901,16038.0,6.0
20252901,17225.0,7.0
20252901,18531.0,8.0
20252901,19052.0,9.0
20252901,19182.0,10.0
20252901,18942.0,11.0
20252901,18795.0,12.0
20252901,18708.0,13.0
20252901,18755.0,14.0
20252901,18767.0,15.0
20252901,19020.0,16.0
20252901,19918.0,17.0
20252901,20519.0,18.0
20252901,20862.0,19.0
20252901,20796.0,20.0
20252901,20520.0,21.0
20252901,19728.0,22.0
20252901,18896.0,23.0
20252901,18065.0,24.0
20253001,17365.0,1.0
20253001,17000.0,2.0
20253001,16935.0,3.0
20253001,16934.0,4.0
20253001,17135.0,5.0
20253001,17655.0,6.0
20253001,18716.0,7.0
20253001,19998.0,8.0
20253001,20169.0,9.0
20253001,20137.0,10.0
20253001,19828.0,11.0
20253001,19336.0,12.0
20253001,19275.0,13.0
20253001,19107.0,14.0
20253001,19315.0,15.0
20253001,19596.0,16.0
20253001,20002.0,17.0
20253001,20333.0,18.0
20253001,20167.0,19.0
20253001,19886.0,20.0
20253001,19437.0,21.0
20253001,18713.0,22.0
20253001,17706.0,23.0
20253001,16965.0,24.0
20253101,16224.0,1.0
20253101,15885.0,2.0
20253101,15805.0,3.0
20253101,15851.0,4.0
20253101,16067.0,5.0
20253101,16640.0,6.0
20253101,17704.0,7.0
20253101,18846.0,8.0
20253101,19346.0,9.0
20253101,19351.0,10.0
20253101,19376.0,11.0
20253101,19339.0,12.0
20253101,19170.0,13.0
20253101,19032.0,14.0
20253101,19090.0,15.0
20253101,19096.0,16.0
20253101,19338.0,17.0
20253101,19617.0,18.0
20253101,19360.0,19.0
20253101,19073.0,20.0
20253101,18788.0,21.0
20253101,18311.0,22.0
20253101,17436.0,23.0
20253101,16676.0,24.0
